Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,Other,Receive Year,Delivery Year
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,30,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,30,2016,2016
I&K,ECE,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,50,2016,2016
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,50,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,50,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,50,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,50,2016,2016
I&K,SNI,KOREA,2017-02-21,2017-02-22,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,50,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT VENOM OPEN FACE,no,50,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT YARIS,no,50,2017,2017
I&K,SNI,KOREA,2016-03-16,2016-03-26,10 days 00:00:00.000000000,KIT,no,100,2016,2016
I&K,SNI,KOREA,2016-03-16,2016-03-26,10 days 00:00:00.000000000,KIT,no,100,2016,2016
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,100,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,100,2016,2016
I&K,SNI,KOREA,2016-11-11,2016-11-18,7 days 00:00:00.000000000,KIT,no,100,2016,2016
I&K,SNI,KOREA,2017-02-21,2017-02-22,1 days 00:00:00.000000000,MDS R3,no,100,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT VENOM OPEN FACE,no,100,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT VENOM OPEN FACE,no,100,2017,2017
