"Customer","POS NO","PO NO","Standard","Destination","POS Receive Date","POS Delivery Date","Model/Type","Description","XXS","XS (48)","XS/S","S(50)","M(52)","L(54)","XL(56)","XXL","3XL","4XL","S/M","L/XL","Other"
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT R-10","LUCA MARCONI REPLICA","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT R-10","THITIPONG REPLICA 2016","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT R-10","STAR","","","","6","18","18","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENDETTA2","ALEIX ESPARGARO REPLICA GUNMETAL (K-RACING LOGO)","","","","","18","18","12","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENDETTA2","ANDREA LOCATELLI REPLICA ","","","","","18","18","12","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT K2 RIDER","LUCA MARCONI REPLICA","","","","","18","24","6","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","ECE","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT NFR","ENERGY YELLOW/RED","","","","","24","24","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENDETTA2","PLAIN ANTHRACITE","","","","","24","24","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT NF-R","ENERGY YELLOW/RED","","","","","24","24","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENDETTA2","PLAIN ANTHRACITE","","","","","24","24","","","","","","",""
"INFINITE SERV","161 ","HA-15","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT RC SEVEN","#2 YELLOW/BLACK/RED","","","","","15","15","15","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENDETTA2","ALEIX ESPARGARO REPLICA RED (K-RACING LOGO)","","","","","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENDETTA2","ROSSO MUGELLO REPLICA (NO DUCATI)","","","","","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT RC SEVEN","#14 BLACK/WHITE","","","","","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","ALEIX ESPARGARO REPLICA GUN METAL (K-RACING LOGO)","","","","","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","ALEIX ESPARGARO REPLICA RED (K-RACING LOGO)","","","","","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","FASTER RED","","","","","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","FASTER YELLOW","","","","","18","18","6","","","","","",""
